model,attribute,group,n,p_pos,accuracy,tpr
dnn,sex,Female,3681,0.08340124966041837,0.9201303993480032,0.5143487858719646
dnn,sex,Male,7625,0.2754098360655738,0.8183606557377049,0.6521924223073648
dnn,race,Amer-Indian-Eskimo,106,0.09433962264150944,0.9339622641509434,0.6153846153846154
dnn,race,Asian-Pac-Islander,320,0.259375,0.8375,0.6823529411764706
dnn,race,Black,1044,0.09770114942528736,0.9090038314176245,0.5255474452554745
dnn,race,Other,101,0.0891089108910891,0.8811881188118812,0.36363636363636365
dnn,race,White,9735,0.2262968669748331,0.8445814072932717,0.6349765258215962
