model,accuracy,f1,roc_auc,sex_dp_gap,sex_eopp_gap,race_dp_gap,race_eopp_gap
logreg,0.8453033787369538,0.6520787746170679,0.9055801006941018,0.17901568087787978,0.1368681614552057,0.1931930693069307,0.4449197860962567
rf,0.8408809481691137,0.6575290310298877,0.889601035042165,0.18448625418075093,0.10586722826960326,0.1515160891089109,0.22780748663101608
