unit,spearman_with_sex
0,-0.24195962430527598
1,-0.4442350462447167
2,-0.41250792681813375
3,0.20757990311250432
4,-0.49220994248021
5,0.23291475837952075
6,-0.33329091031711855
7,-0.09347202967805394
8,0.16239491138014184
9,-0.4562577609663995
10,-0.39190847303736304
11,-0.2990528973057654
12,-0.3759801537059248
13,-0.3666540149673798
14,0.21553783736079152
15,-0.23788713262186093
16,-0.34950568182966435
17,0.2038886253054827
18,-0.32840235970690856
19,-0.3644234556481392
20,-0.4916129601476084
21,0.1957464525594526
22,0.3173289998682419
23,0.32324250600229615
24,
25,0.1738461926333668
26,0.2838758764794043
27,0.22857797911710678
28,0.1089711387209794
29,-0.438859039617651
30,-0.38714744509623505
31,-0.01721031527695512
