component,spearman_with_label,abs_corr
0,-0.03589171049343736,0.03589171049343736
1,-0.10672404447983028,0.10672404447983028
2,0.11080805381873304,0.11080805381873304
3,0.05238680107148604,0.05238680107148604
4,0.10862973347187145,0.10862973347187145
5,-0.07921043601886209,0.07921043601886209
6,-0.01694839863449725,0.01694839863449725
7,0.012385974181742735,0.012385974181742735
8,0.024376166868517155,0.024376166868517155
9,0.027361899027674035,0.027361899027674035
10,0.0012895930053677099,0.0012895930053677099
11,-0.04130768100084085,0.04130768100084085
12,0.024755440467894452,0.024755440467894452
13,0.12753980986675878,0.12753980986675878
14,0.11920096902975659,0.11920096902975659
15,0.004528937904158146,0.004528937904158146
16,0.13814512822602187,0.13814512822602187
17,-0.11254147695234593,0.11254147695234593
18,0.05219642675492756,0.05219642675492756
19,-0.040862846582250416,0.040862846582250416
20,0.1284240179269788,0.1284240179269788
21,0.04287360863957621,0.04287360863957621
22,0.35126123903427997,0.35126123903427997
23,0.015758825897884077,0.015758825897884077
24,-0.09929539749796694,0.09929539749796694
25,-0.04086902919291338,0.04086902919291338
26,0.05069700144968298,0.05069700144968298
27,0.008892545785981275,0.008892545785981275
28,-0.09431308876629461,0.09431308876629461
29,0.00861912984978355,0.00861912984978355
30,-0.048660849872796876,0.048660849872796876
31,0.015046789537640494,0.015046789537640494
