component,spearman_with_race,abs_corr
0,0.06300228878073039,0.06300228878073039
1,-0.15638120185637117,0.15638120185637117
2,-0.059104036182958994,0.059104036182958994
3,0.022708292332522886,0.022708292332522886
4,0.011189168638831005,0.011189168638831005
5,0.07582950402786481,0.07582950402786481
6,0.18362729377915404,0.18362729377915404
7,0.16919174861288125,0.16919174861288125
8,-0.08472844088457043,0.08472844088457043
9,0.010874560614052732,0.010874560614052732
10,-0.09279504267921661,0.09279504267921661
11,-0.17882038032219538,0.17882038032219538
12,0.12546873976448658,0.12546873976448658
13,0.07960649950566383,0.07960649950566383
14,0.08653358853635812,0.08653358853635812
15,0.09344383871600531,0.09344383871600531
16,-0.02211429127993985,0.02211429127993985
17,-0.12628207240631378,0.12628207240631378
18,-0.05785881667745866,0.05785881667745866
19,0.029914284427339892,0.029914284427339892
20,0.17642930981008248,0.17642930981008248
21,0.12830103994802552,0.12830103994802552
22,-0.005995135143285111,0.005995135143285111
23,-0.03928613268490432,0.03928613268490432
24,0.04686422193948422,0.04686422193948422
25,0.02711118843281109,0.02711118843281109
26,0.11526483839727736,0.11526483839727736
27,0.08181417778781064,0.08181417778781064
28,-0.04398696301401324,0.04398696301401324
29,-0.09967901401882764,0.09967901401882764
30,0.16360925185840702,0.16360925185840702
31,-0.08045275237764206,0.08045275237764206
